property_name,rank,feature_selection,fs_param,original_feature_count,selected_feature_count,selected_feature_idx_json,result_dir,run_config_path
a*,1,cars,10,2048,10,"[439, 158, 429, 278, 258, 440, 207, 2, 0, 1]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_173938_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_173938_a_\run_config.json
a*,2,cars,20,2048,20,"[439, 158, 429, 278, 258, 440, 207, 2, 0, 1, 91, 65, 430, 122, 215, 2041, 2045, 2046, 2047, 166]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_174549_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174549_a_\run_config.json
a*,3,cars,30,2048,30,"[439, 158, 429, 278, 258, 440, 207, 2, 0, 1, 91, 65, 430, 122, 215, 2041, 2045, 2046, 2047, 166, 246, 265, 50, 83, 23, 379, 234, 199, 362, 155]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_174837_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174837_a_\run_config.json
a*,4,cars,40,2048,40,"[439, 158, 429, 278, 258, 440, 207, 2, 0, 1, 91, 65, 430, 122, 215, 2041, 2045, 2046, 2047, 166, 246, 265, 50, 83, 23, 379, 234, 199, 362, 155, 286, 203, 291, 358, 206, 75, 157, 192, 290, 301]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_175132_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175132_a_\run_config.json
a*,5,pca,10,2048,10,"[1453, 1010, 1030, 1036, 1040, 1027, 1016, 1034, 1033, 1031]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_175919_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175919_a_\run_config.json
a*,6,pca,20,2048,20,"[1453, 1010, 1030, 1036, 1040, 1027, 1016, 1034, 1033, 1031, 1035, 1032, 1024, 1074, 1025, 1022, 1017, 1009, 1020, 1015]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_181025_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181025_a_\run_config.json
a*,7,pca,30,2048,30,"[1453, 1010, 1030, 1036, 1040, 1027, 1016, 1034, 1033, 1031, 1035, 1032, 1024, 1074, 1025, 1022, 1017, 1009, 1020, 1015, 1053, 1021, 1008, 1028, 1018, 1051, 1026, 1014, 1013, 1023]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_181733_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181733_a_\run_config.json
a*,8,pca,40,2048,40,"[1453, 1010, 1030, 1036, 1040, 1027, 1016, 1034, 1033, 1031, 1035, 1032, 1024, 1074, 1025, 1022, 1017, 1009, 1020, 1015, 1053, 1021, 1008, 1028, 1018, 1051, 1026, 1014, 1013, 1023, 1047, 1004, 1011, 1038, 1019, 1001, 1029, 1042, 1108, 1037]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_182027_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182027_a_\run_config.json
a*,9,corr_topk,10,2048,10,"[546, 569, 543, 566, 576, 535, 565, 575, 573, 584]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_182313_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182313_a_\run_config.json
a*,10,corr_topk,20,2048,20,"[546, 569, 543, 566, 576, 535, 565, 575, 573, 584, 525, 585, 534, 570, 563, 568, 544, 579, 578, 547]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_183708_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_183708_a_\run_config.json
a*,11,corr_topk,30,2048,30,"[546, 569, 543, 566, 576, 535, 565, 575, 573, 584, 525, 585, 534, 570, 563, 568, 544, 579, 578, 547, 533, 538, 591, 545, 572, 586, 549, 541, 594, 540]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_183958_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_183958_a_\run_config.json
a*,12,corr_topk,40,2048,40,"[546, 569, 543, 566, 576, 535, 565, 575, 573, 584, 525, 585, 534, 570, 563, 568, 544, 579, 578, 547, 533, 538, 591, 545, 572, 586, 549, 541, 594, 540, 588, 567, 598, 574, 587, 521, 581, 526, 527, 564]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_184808_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_184808_a_\run_config.json
a*,13,spa,8,2048,8,"[546, 439, 1125, 429, 1105, 554, 1076, 890]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_191129_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_191129_a_\run_config.json
a*,14,spa,12,2048,12,"[546, 439, 1125, 429, 1105, 554, 1076, 890, 1093, 1383, 1005, 898]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_192343_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_192343_a_\run_config.json
a*,15,spa,16,2048,16,"[546, 439, 1125, 429, 1105, 554, 1076, 890, 1093, 1383, 1005, 898, 1144, 548, 1126, 550]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_193324_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_193324_a_\run_config.json
a*,16,spa,20,2048,20,"[546, 439, 1125, 429, 1105, 554, 1076, 890, 1093, 1383, 1005, 898, 1144, 548, 1126, 550, 1098, 555, 1114, 556]",D:\HXR\NIR\python_nir_project\result\pinn\20260509_195631_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_195631_a_\run_config.json
